game_id,name_x,date,player_count,gain,peak_player,name_y,total_review,positive_percent
413150,Stardew Valley,,60933.7,1550.3,136302.0,Stardew Valley,740693.0,0.98
413150,Stardew Valley,2025-01-01,72808.0,6395.0,129558.0,Stardew Valley,740693.0,0.98
413150,Stardew Valley,2024-11-01,61855.4,-4795.4,116286.0,Stardew Valley,740693.0,0.98
413150,Stardew Valley,2024-09-01,49227.5,-16343.6,88441.0,Stardew Valley,740693.0,0.98
413150,Stardew Valley,2024-07-01,82852.1,18846.1,148985.0,Stardew Valley,740693.0,0.98
413150,Stardew Valley,2024-05-01,89016.9,-31116.9,175581.0,Stardew Valley,740693.0,0.98
413150,Stardew Valley,2024-03-01,82587.9,50234.9,236614.0,Stardew Valley,740693.0,0.98
413150,Stardew Valley,2024-01-01,39082.7,7133.9,58773.0,Stardew Valley,740693.0,0.98
413150,Stardew Valley,2023-11-01,28714.7,-841.6,46525.0,Stardew Valley,740693.0,0.98
413150,Stardew Valley,2023-09-01,27764.5,-6756.1,44391.0,Stardew Valley,740693.0,0.98
413150,Stardew Valley,2023-07-01,37568.6,7706.5,53687.0,Stardew Valley,740693.0,0.98
413150,Stardew Valley,2023-05-01,28102.8,-4479.6,43446.0,Stardew Valley,740693.0,0.98
413150,Stardew Valley,2023-03-01,33899.0,-2365.1,52043.0,Stardew Valley,740693.0,0.98
413150,Stardew Valley,2023-01-01,40950.5,12554.0,59095.0,Stardew Valley,740693.0,0.98
413150,Stardew Valley,2022-11-01,23896.0,1232.5,37232.0,Stardew Valley,740693.0,0.98
413150,Stardew Valley,2022-09-01,24753.5,-6648.7,38451.0,Stardew Valley,740693.0,0.98
413150,Stardew Valley,2022-07-01,39076.5,7300.7,54288.0,Stardew Valley,740693.0,0.98
413150,Stardew Valley,2022-05-01,28036.6,1206.8,42786.0,Stardew Valley,740693.0,0.98
413150,Stardew Valley,2022-03-01,25851.2,-2942.2,38568.0,Stardew Valley,740693.0,0.98
413150,Stardew Valley,2022-01-01,33621.6,8669.9,48151.0,Stardew Valley,740693.0,0.98
413150,Stardew Valley,2021-11-01,23206.2,792.1,35441.0,Stardew Valley,740693.0,0.98
413150,Stardew Valley,2021-09-01,24320.9,-6246.2,36516.0,Stardew Valley,740693.0,0.98
413150,Stardew Valley,2021-07-01,28479.5,6238.2,41572.0,Stardew Valley,740693.0,0.98
413150,Stardew Valley,2021-05-01,23174.5,-3998.0,35440.0,Stardew Valley,740693.0,0.98
413150,Stardew Valley,2021-03-01,33180.9,-5123.8,51990.0,Stardew Valley,740693.0,0.98
413150,Stardew Valley,2021-01-01,57166.6,27545.8,94479.0,Stardew Valley,740693.0,0.98
413150,Stardew Valley,2020-11-01,13803.9,1743.9,22453.0,Stardew Valley,740693.0,0.98
413150,Stardew Valley,2020-09-01,13509.3,-3143.9,19609.0,Stardew Valley,740693.0,0.98
413150,Stardew Valley,2020-07-01,19955.3,4745.9,28908.0,Stardew Valley,740693.0,0.98
413150,Stardew Valley,2020-05-01,20487.2,-9464.0,31679.0,Stardew Valley,740693.0,0.98
413150,Stardew Valley,2020-03-01,27388.1,3690.9,45512.0,Stardew Valley,740693.0,0.98
413150,Stardew Valley,2020-01-01,24356.2,207.7,39046.0,Stardew Valley,740693.0,0.98
413150,Stardew Valley,2019-11-01,10855.1,1922.7,35053.0,Stardew Valley,740693.0,0.98
413150,Stardew Valley,2019-09-01,9272.7,-1745.9,14278.0,Stardew Valley,740693.0,0.98
413150,Stardew Valley,2019-07-01,15367.1,3008.7,24919.0,Stardew Valley,740693.0,0.98
413150,Stardew Valley,2019-05-01,12474.1,-67.6,21404.0,Stardew Valley,740693.0,0.98
413150,Stardew Valley,2019-03-01,13166.6,442.2,19786.0,Stardew Valley,740693.0,0.98
413150,Stardew Valley,2019-01-01,15249.1,4089.0,24470.0,Stardew Valley,740693.0,0.98
413150,Stardew Valley,2018-11-01,9503.0,-549.5,16133.0,Stardew Valley,740693.0,0.98
413150,Stardew Valley,2018-09-01,11765.5,-5121.7,19826.0,Stardew Valley,740693.0,0.98
413150,Stardew Valley,2018-07-01,16584.1,-778.3,24692.0,Stardew Valley,740693.0,0.98
413150,Stardew Valley,2018-05-01,27545.5,20015.9,54212.0,Stardew Valley,740693.0,0.98
413150,Stardew Valley,2018-03-01,8053.6,-981.2,12668.0,Stardew Valley,740693.0,0.98
413150,Stardew Valley,2018-01-01,11707.1,1883.0,20139.0,Stardew Valley,740693.0,0.98
413150,Stardew Valley,2017-11-01,8676.5,534.7,17839.0,Stardew Valley,740693.0,0.98
413150,Stardew Valley,2017-09-01,6869.3,-1978.2,10745.0,Stardew Valley,740693.0,0.98
413150,Stardew Valley,2017-07-01,15538.2,6633.5,28122.0,Stardew Valley,740693.0,0.98
413150,Stardew Valley,2017-05-01,7882.6,229.1,11896.0,Stardew Valley,740693.0,0.98
413150,Stardew Valley,2017-03-01,9693.0,-194.9,17295.0,Stardew Valley,740693.0,0.98
413150,Stardew Valley,2017-01-01,11798.9,3822.9,24014.0,Stardew Valley,740693.0,0.98
413150,Stardew Valley,2016-11-01,6878.9,-2378.2,13674.0,Stardew Valley,740693.0,0.98
413150,Stardew Valley,2016-09-01,4372.4,-1135.3,7360.0,Stardew Valley,740693.0,0.98
413150,Stardew Valley,2016-07-01,9299.8,1730.1,21032.0,Stardew Valley,740693.0,0.98
413150,Stardew Valley,2016-05-01,9654.5,-10188.9,20528.0,Stardew Valley,740693.0,0.98
413150,Stardew Valley,2016-03-01,34947.5,33352.7,64256.0,Stardew Valley,740693.0,0.98
