game_id,name,date,player_count,gain,peak_player
413150,Stardew Valley,Last 30 Days,"60,933.7","+1,550.3","136,302"
413150,Stardew Valley,January 2025,"72,808.0","+6,395.0","129,558"
413150,Stardew Valley,November 2024,"61,855.4","-4,795.4","116,286"
413150,Stardew Valley,September 2024,"49,227.5","-16,343.6","88,441"
413150,Stardew Valley,July 2024,"82,852.1","+18,846.1","148,985"
413150,Stardew Valley,May 2024,"89,016.9","-31,116.9","175,581"
413150,Stardew Valley,March 2024,"82,587.9","+50,234.9","236,614"
413150,Stardew Valley,January 2024,"39,082.7","+7,133.9","58,773"
413150,Stardew Valley,November 2023,"28,714.7",-841.6,"46,525"
413150,Stardew Valley,September 2023,"27,764.5","-6,756.1","44,391"
413150,Stardew Valley,July 2023,"37,568.6","+7,706.5","53,687"
413150,Stardew Valley,May 2023,"28,102.8","-4,479.6","43,446"
413150,Stardew Valley,March 2023,"33,899.0","-2,365.1","52,043"
413150,Stardew Valley,January 2023,"40,950.5","+12,554.0","59,095"
413150,Stardew Valley,November 2022,"23,896.0","+1,232.5","37,232"
413150,Stardew Valley,September 2022,"24,753.5","-6,648.7","38,451"
413150,Stardew Valley,July 2022,"39,076.5","+7,300.7","54,288"
413150,Stardew Valley,May 2022,"28,036.6","+1,206.8","42,786"
413150,Stardew Valley,March 2022,"25,851.2","-2,942.2","38,568"
413150,Stardew Valley,January 2022,"33,621.6","+8,669.9","48,151"
413150,Stardew Valley,November 2021,"23,206.2",+792.1,"35,441"
413150,Stardew Valley,September 2021,"24,320.9","-6,246.2","36,516"
413150,Stardew Valley,July 2021,"28,479.5","+6,238.2","41,572"
413150,Stardew Valley,May 2021,"23,174.5","-3,998.0","35,440"
413150,Stardew Valley,March 2021,"33,180.9","-5,123.8","51,990"
413150,Stardew Valley,January 2021,"57,166.6","+27,545.8","94,479"
413150,Stardew Valley,November 2020,"13,803.9","+1,743.9","22,453"
413150,Stardew Valley,September 2020,"13,509.3","-3,143.9","19,609"
413150,Stardew Valley,July 2020,"19,955.3","+4,745.9","28,908"
413150,Stardew Valley,May 2020,"20,487.2","-9,464.0","31,679"
413150,Stardew Valley,March 2020,"27,388.1","+3,690.9","45,512"
413150,Stardew Valley,January 2020,"24,356.2",+207.7,"39,046"
413150,Stardew Valley,November 2019,"10,855.1","+1,922.7","35,053"
413150,Stardew Valley,September 2019,"9,272.7","-1,745.9","14,278"
413150,Stardew Valley,July 2019,"15,367.1","+3,008.7","24,919"
413150,Stardew Valley,May 2019,"12,474.1",-67.6,"21,404"
413150,Stardew Valley,March 2019,"13,166.6",+442.2,"19,786"
413150,Stardew Valley,January 2019,"15,249.1","+4,089.0","24,470"
413150,Stardew Valley,November 2018,"9,503.0",-549.5,"16,133"
413150,Stardew Valley,September 2018,"11,765.5","-5,121.7","19,826"
413150,Stardew Valley,July 2018,"16,584.1",-778.3,"24,692"
413150,Stardew Valley,May 2018,"27,545.5","+20,015.9","54,212"
413150,Stardew Valley,March 2018,"8,053.6",-981.2,"12,668"
413150,Stardew Valley,January 2018,"11,707.1","+1,883.0","20,139"
413150,Stardew Valley,November 2017,"8,676.5",+534.7,"17,839"
413150,Stardew Valley,September 2017,"6,869.3","-1,978.2","10,745"
413150,Stardew Valley,July 2017,"15,538.2","+6,633.5","28,122"
413150,Stardew Valley,May 2017,"7,882.6",+229.1,"11,896"
413150,Stardew Valley,March 2017,"9,693.0",-194.9,"17,295"
413150,Stardew Valley,January 2017,"11,798.9","+3,822.9","24,014"
413150,Stardew Valley,November 2016,"6,878.9","-2,378.2","13,674"
413150,Stardew Valley,September 2016,"4,372.4","-1,135.3","7,360"
413150,Stardew Valley,July 2016,"9,299.8","+1,730.1","21,032"
413150,Stardew Valley,May 2016,"9,654.5","-10,188.9","20,528"
413150,Stardew Valley,March 2016,"34,947.5","+33,352.7","64,256"
413150,Stardew Valley,January 2016,0.5,-0.1,3
620,Portal 2,Last 30 Days,"2,207.4",-892.3,"4,471"
620,Portal 2,January 2025,"2,260.6",-205.6,"5,046"
620,Portal 2,November 2024,"1,792.9",-707.7,"4,831"
620,Portal 2,September 2024,"1,442.8",-366.2,"2,655"
620,Portal 2,July 2024,"3,098.7","+1,205.5","6,410"
620,Portal 2,May 2024,"1,871.0",+146.3,"3,548"
620,Portal 2,March 2024,"2,485.6",+363.1,"6,075"
620,Portal 2,January 2024,"4,011.6","+1,292.0","9,940"
620,Portal 2,November 2023,"2,071.8",+282.6,"7,274"
620,Portal 2,September 2023,"2,722.6",+285.0,"9,377"
620,Portal 2,July 2023,"3,435.9","+1,696.1","6,919"
620,Portal 2,May 2023,"2,135.7",-244.7,"7,514"
620,Portal 2,March 2023,"4,321.6","+2,360.5","14,445"
620,Portal 2,January 2023,"3,357.0",-281.2,"8,568"
620,Portal 2,November 2022,"2,288.1",+837.9,"9,152"
620,Portal 2,September 2022,"1,397.2",-277.1,"2,587"
620,Portal 2,July 2022,"2,337.2",+472.1,"4,520"
620,Portal 2,May 2022,"1,668.3",-179.1,"3,104"
620,Portal 2,March 2022,"2,012.9",-449.5,"3,686"
620,Portal 2,January 2022,"2,976.0",+334.3,"6,139"
620,Portal 2,November 2021,"1,854.4",+433.2,"6,216"
620,Portal 2,September 2021,"1,604.7",-445.6,"2,920"
620,Portal 2,July 2021,"2,938.3",+693.2,"5,826"
620,Portal 2,May 2021,"2,218.0",-214.2,"4,271"
620,Portal 2,March 2021,"2,355.5",-30.2,"6,813"
620,Portal 2,January 2021,"3,386.2",+98.3,"7,210"
