game_id,name,date,player_count,gain,percentage_gain,followers,rank,positive_reviews,negative_reviews,positive_percentage
413150,Stardew Valley,Last 30 days,"137,726","+36,494",+36.0%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,February 2025,"101,232","-28,657",-22.1%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,January 2025,"129,889","+3,571",+2.8%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,December 2024,"126,318","+8,359",+7.1%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,November 2024,"117,959","-60,508",-33.9%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,October 2024,"178,467","+89,650",+100.9%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,September 2024,"88,817","-27,012",-23.3%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,August 2024,"115,829","-35,121",-23.3%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,July 2024,"150,950","+31,697",+26.6%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,June 2024,"119,253","-56,477",-32.1%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,May 2024,"175,730","-34,466",-16.4%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,April 2024,"210,196","-26,418",-11.2%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,March 2024,"236,614","+174,920",+283.5%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
413150,Stardew Valley,February 2024,"61,694","+2,904",+4.9%,"920,208 followers",#81 in top sellers,"853,812 positive reviews","13,577 negative reviews",98.43% positive reviews
